Date	Open	High	Low	Close
Mar 25, 2025 00:00	1.97836	1.97266	1.98141	1.97660
Mar 24, 2025 00:00	1.97668	1.96998	1.98318	1.97836
Mar 21, 2025 00:00	1.97305	1.96475	1.97726	1.97558
Mar 20, 2025 00:00	1.96067	1.96055	1.98012	1.96893
Mar 19, 2025 00:00	1.96040	1.95710	1.97316	1.96067
Mar 18, 2025 00:00	1.94875	1.94598	1.96410	1.96040
Mar 17, 2025 00:00	1.96653	1.94761	1.96839	1.94863
Mar 16, 2025 00:00	1.97068	1.96132	1.97122	1.96665
Mar 14, 2025 00:00	1.98700	1.96321	1.98847	1.96498
Mar 13, 2025 00:00	1.97675	1.97515	1.99442	1.98689
Mar 12, 2025 00:00	1.98208	1.97656	1.98863	1.97683
Mar 11, 2025 00:00	1.99545	1.98028	2.00606	1.98224
Mar 10, 2025 00:00	1.99692	1.98118	1.99860	1.99557
Mar 09, 2025 00:00	1.99255	1.98772	1.99804	1.99684
Mar 07, 2025 00:00	1.97394	1.97301	2.00020	1.99017
Mar 06, 2025 00:00	1.96279	1.95423	1.97757	1.97371
Mar 05, 2025 00:00	1.98531	1.95879	1.99092	1.96013
Mar 04, 2025 00:00	1.98681	1.98181	2.00365	1.98523
Mar 03, 2025 00:00	1.98004	1.97726	1.99179	1.98697
Mar 02, 2025 00:00	1.97957	1.97957	1.97957	1.97957
Feb 28, 2025 00:00	1.97898	1.97309	1.98681	1.97934
Feb 27, 2025 00:00	1.96726	1.95821	1.97906	1.97492
Feb 26, 2025 00:00	1.95561	1.95526	1.96901	1.96221
Feb 25, 2025 00:00	1.94810	1.94246	1.96317	1.95568
Feb 24, 2025 00:00	1.93611	1.93416	1.94886	1.94628
Feb 23, 2025 00:00	1.94511	1.93510	1.94511	1.93596
Feb 21, 2025 00:00	1.93446	1.92860	1.94371	1.94035
Feb 20, 2025 00:00	1.93938	1.92834	1.94386	1.93147
Feb 19, 2025 00:00	1.94028	1.92901	1.94890	1.93945
Feb 18, 2025 00:00	1.93844	1.93573	1.94731	1.94028
Feb 17, 2025 00:00	1.93874	1.93390	1.93971	1.93746
Feb 16, 2025 00:00	1.95053	1.93851	1.95061	1.93866
Feb 14, 2025 00:00	1.94977	1.93798	1.95080	1.93885
Feb 13, 2025 00:00	1.94541	1.93870	1.95902	1.94977
Feb 12, 2025 00:00	1.93581	1.93173	1.95217	1.94092
Feb 11, 2025 00:00	1.95027	1.93540	1.95027	1.93588
Feb 10, 2025 00:00	1.95095	1.93821	1.95286	1.94769
Feb 09, 2025 00:00	1.95095	1.94318	1.95175	1.94484
Feb 07, 2025 00:00	1.95259	1.93930	1.95263	1.94329
Feb 06, 2025 00:00	1.95645	1.94685	1.95902	1.94742
Feb 05, 2025 00:00	1.95902	1.94689	1.96055	1.95107
Feb 04, 2025 00:00	1.95668	1.94795	1.96356	1.95672
Feb 03, 2025 00:00	1.96217	1.94780	1.97726	1.94989
Feb 02, 2025 00:00	1.95929	1.95722	1.96302	1.96225
Jan 31, 2025 00:00	1.95687	1.93885	1.95748	1.94803
Jan 30, 2025 00:00	1.94776	1.94560	1.95752	1.95130
